Using device: cuda
Class names: ['glioma', 'meningioma', 'notumor', 'pituitary']
Train samples: 5141, Val samples: 571, Test samples: 1311
Showing sample training batch...

================================================================================
Training model: SimpleCNN
================================================================================
Epoch 184/500 | train_loss: 0.3693 train_acc: 0.8677 | val_loss: 0.3006 val_acc: 0.8844 | time: 24.7s
Epoch 185/500 | train_loss: 0.3626 train_acc: 0.8652 | val_loss: 0.3050 val_acc: 0.8862 | time: 25.0s
Epoch 186/500 | train_loss: 0.3564 train_acc: 0.8714 | val_loss: 0.3021 val_acc: 0.8879 | time: 23.5s
Epoch 187/500 | train_loss: 0.3739 train_acc: 0.8646 | val_loss: 0.3020 val_acc: 0.8792 | time: 25.2s
Epoch 188/500 | train_loss: 0.3621 train_acc: 0.8701 | val_loss: 0.3082 val_acc: 0.8844 | time: 26.8s
Epoch 189/500 | train_loss: 0.3699 train_acc: 0.8644 | val_loss: 0.3033 val_acc: 0.8844 | time: 23.6s
Epoch 190/500 | train_loss: 0.3705 train_acc: 0.8640 | val_loss: 0.3062 val_acc: 0.8844 | time: 25.4s
Epoch 191/500 | train_loss: 0.3674 train_acc: 0.8679 | val_loss: 0.3001 val_acc: 0.9002 | time: 25.7s
Epoch 192/500 | train_loss: 0.3640 train_acc: 0.8660 | val_loss: 0.3069 val_acc: 0.8774 | time: 27.8s
Epoch 193/500 | train_loss: 0.3626 train_acc: 0.8691 | val_loss: 0.2949 val_acc: 0.8914 | time: 22.7s
Epoch 194/500 | train_loss: 0.3659 train_acc: 0.8619 | val_loss: 0.3028 val_acc: 0.8809 | time: 25.7s
Epoch 195/500 | train_loss: 0.3762 train_acc: 0.8623 | val_loss: 0.3092 val_acc: 0.8757 | time: 24.5s
Epoch 196/500 | train_loss: 0.3794 train_acc: 0.8596 | val_loss: 0.3010 val_acc: 0.8844 | time: 25.5s
Epoch 197/500 | train_loss: 0.3637 train_acc: 0.8640 | val_loss: 0.3100 val_acc: 0.8809 | time: 24.8s
Epoch 198/500 | train_loss: 0.3773 train_acc: 0.8582 | val_loss: 0.2973 val_acc: 0.8897 | time: 27.3s
Epoch 199/500 | train_loss: 0.3740 train_acc: 0.8599 | val_loss: 0.3057 val_acc: 0.8862 | time: 25.3s
Epoch 200/500 | train_loss: 0.3752 train_acc: 0.8611 | val_loss: 0.3012 val_acc: 0.8967 | time: 22.3s
Epoch 201/500 | train_loss: 0.3665 train_acc: 0.8640 | val_loss: 0.2984 val_acc: 0.8879 | time: 19.8s
Epoch 202/500 | train_loss: 0.3660 train_acc: 0.8670 | val_loss: 0.2955 val_acc: 0.8827 | time: 24.6s
Epoch 203/500 | train_loss: 0.3846 train_acc: 0.8547 | val_loss: 0.3166 val_acc: 0.8687 | time: 26.1s
Epoch 204/500 | train_loss: 0.3728 train_acc: 0.8619 | val_loss: 0.3059 val_acc: 0.8844 | time: 25.0s
Epoch 205/500 | train_loss: 0.3570 train_acc: 0.8662 | val_loss: 0.2968 val_acc: 0.8862 | time: 23.8s
Epoch 206/500 | train_loss: 0.3704 train_acc: 0.8654 | val_loss: 0.2926 val_acc: 0.8914 | time: 27.5s
Epoch 207/500 | train_loss: 0.3752 train_acc: 0.8623 | val_loss: 0.3019 val_acc: 0.8844 | time: 23.9s
Epoch 208/500 | train_loss: 0.3890 train_acc: 0.8553 | val_loss: 0.2910 val_acc: 0.8897 | time: 25.0s
Epoch 209/500 | train_loss: 0.3743 train_acc: 0.8617 | val_loss: 0.2934 val_acc: 0.8949 | time: 24.1s
Epoch 210/500 | train_loss: 0.3667 train_acc: 0.8640 | val_loss: 0.2970 val_acc: 0.8879 | time: 26.6s
Epoch 211/500 | train_loss: 0.3911 train_acc: 0.8607 | val_loss: 0.3072 val_acc: 0.8844 | time: 25.6s
